"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","686","Негативный сценарий: статус Declined -> ошибка","webkit","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","месяц 0 → false","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты — проверка isValidDate","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","16","Успешное продление подписки при успешном платеже","","2026-04-07","passed","2026-04-07","","","",""
"","381","Data-Driven: корректная дата для тарифа 1 мес.","chromium","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","4","ошибка при отрицательной длительности","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректная длительность подписки","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","14","Отказ продления при статусе платежа Declined","","2026-04-07","passed","2026-04-07","","","",""
"","1","31 января + 1 месяц → февраль (невисокосный год)","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","месяцы с разным количеством дней","",""
"","2","отрицательный год","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты","",""
"","1502","Позитивный сценарий: успешное продление для статуса OK","firefox","2026-04-07","passed","2026-04-07","UI: продление подписки (вариант 11)","main-flow.spec.js","",""
"","1","DECLINED — продление запрещено","","2026-04-07","passed","2026-04-07","","","",""
"","1","PENDING — продление запрещено","","2026-04-07","passed","2026-04-07","","","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","14","Успешное продление подписки при успешном платеже","","2026-04-07","passed","2026-04-07","","","",""
"Проверка последнего платежа и продления подписки с использованием данных первого запроса.","55","Успешное продление подписки при успешном платеже","","2026-04-07","passed","2026-04-07","","","",""
"","1","неизвестное название месяца","calculateSubscriptionEndDate — расчёт даты окончания подписки","2026-04-07","passed","2026-04-07","","некорректные значения даты","",""
